"","ASV","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"20","d1688c52c31a004169971f57ac428474",56.8190809706304,-3.13585934043031,0.657589349830821,-4.76871978117814,1.85400333741413e-06,4.99941589606155e-05
"21","a0e9df87ac02631fe6c881a3b9cfcb1f",6.23335120223856,-2.69194127625827,0.57289488729211,-4.69883976270449,2.61643629663357e-06,6.39391619989828e-05
"22","303f9143fe7ef189fdb6771c4a4844d0",4.3280374338062,-2.2318874195234,0.54049754173016,-4.12932020445277,3.63837395324907e-05,0.000580654781926689
"23","efe62e9c374ed3da4f7b62078230d8e6",97.9066228839708,-6.11346313483174,0.784007403902271,-7.79771097109919,6.30401903485324e-15,4.92974288525523e-12
"24","0f52a16fb786f7cfdbd153702a0f0b69",123.070859255078,-2.66297579429744,0.677552869982258,-3.93028487115282,8.48452777810443e-05,0.00108768864302913
"25","db481b4cbd9bca8ab79cebbb968de7e0",34.81887943677,-2.10945585017883,0.66291057785198,-3.18211221944002,0.00146205156999343,0.00985624420461091
"26","811e0bad1467de53ad6931c87eb3ebdd",28.0363770976894,-2.45721196738575,0.660143189998193,-3.7222408783653,0.000197462510305644,0.00203178530340808
"27","b790ec124db7f4757fd5e3c10d9b0013",6.21476443036646,-2.55528101103121,0.577860553724305,-4.42196823188994,9.78058395663025e-06,0.000212456018169024
"28","ce7a8d257b05eb2704854dda02c5275d",7.06053736866895,-2.12952223267067,0.531909157820375,-4.00354496883809,6.24003332606936e-05,0.000871376082318971
"29","b1c2c90bab524b14280e60cbf5b5adbd",78.8450938164252,-3.72857449043647,0.645969856559039,-5.77205647071195,7.83098608648661e-09,6.12383111963253e-07
"30","eba5d446c8cbb869a9e91cb673aeaa97",5.5561106653453,-2.52465280948885,0.610255185521863,-4.13704441909801,3.51808025514747e-05,0.000573153908234442
"31","eef681e6429c6707a17351b166331a7f",4.06367416930523,-2.06874505558811,0.545091028879372,-3.79522858749143,0.000147507485884437,0.00172165453674075
"32","a457cce26ef105e17efadb6eed370f64",41.7181327629125,-2.35645561686875,0.685330941118734,-3.43842000336665,0.000585119391267111,0.0049200361717299
"33","6ed3bedbebf8899a8b2c8e30bff9825b",5.5494242544255,-2.52289866776514,0.583232264315247,-4.3257186238268,1.52035393442884e-05,0.000312872835979829
"34","cff21e7b36ad2ea5dedfc66c7f9232d9",9.85498905846073,-3.35688252270255,0.658035795156276,-5.10136765721891,3.37207778417261e-07,1.38600457182062e-05
"35","3d5e28704781a0018cc0002ab0533730",6.41333418842033,-2.367674347061,0.570477676304451,-4.15033654322597,3.31986780512916e-05,0.00055236949438532
"36","6a609abb03d3134834aad118c265e895",5.63865800840552,-2.54610469992941,0.602444135906702,-4.22629178072655,2.37573898704795e-05,0.000432052997179419
"37","070e28143227bdaf69d02deacfa553e6",56.8847542075465,-4.61004186479077,0.679985294500959,-6.77961994483142,1.2049242743132e-11,3.14083594170974e-09
"38","b21f78c2d9a6603e3421ddf0e8568cef",4.26878386153271,-2.14061161349745,0.572090574941277,-3.7417355000424,0.000182753807904797,0.00190551303708735
"39","a47d42f67b1b831b5af9842f036db854",23.2143852611247,-3.3414390375253,0.659730366452435,-5.06485559470789,4.08710048337586e-07,1.51038546244275e-05
"40","ea7db32551f86ac77e74fc5e21e74d94",11.1671545155357,-2.03632532921148,0.610976271469861,-3.3329041147745,0.000859445563447232,0.00678875182440137
"41","d8c16f66304ce127e0d2f53eddea0fcd",5.57244957526476,-2.52891970093467,0.586642183282901,-4.31083848553579,1.62636668787976e-05,0.000326107371774864
"42","67e2214dbcd7a6a43a4e10f0a2899ced",7.17457819356454,-2.89629107808057,0.604969458358148,-4.7874996631085,1.68872021321617e-06,4.71635430976803e-05
